drug_name,feature_1,feature_2,feature_3
PRAZOSIN,"C,N,O",-0.911904070445108,0.11627677680862347
NICOTINE,"C,N",-1.3445684376383735,0.941202912690244
OFLOXACIN,"C,N,O",-12.845685835873278,0.07245527423767939
NALIDIXIC ACID,"C,N,O",18.44512718501798,0.7546849790284842
ELLAGIC ACID,"C,O",3.265100620036629,0.8517521663159293
DARAPLADIB,"C,N,S,O",-18.115784100771805,0.09291818451987643
INDOMETHACIN,"C,O",-4.334677705766744,0.10902431212028496
SULBACTAM,"C,N,S,O",19.989824701957765,0.6775829038834255
TAZOBACTAM,"C,N,S,O",-12.422148444559774,0.5056811887279036
CIPROFLOXACIN,"C,N,O",-1.5579255155563865,0.741999854822402
NORFLOXACIN,"C,N,O",-7.756169031531455,0.756729958115507
IDOXIFENE,"C,N,O",4.518462243431394,0.6519084127157976
AMPHETAMINE,"C,N",9.27079120180458,0.6232418545565418
ISOSORBIDE DINITRATE,"C,N,O",2.233473918928807,0.7019008952325457
MIANSERIN,"C,N",2.57058265886718,0.4330480784053141
LYSERGIDE,"C,N,O",24.936695452099787,0.5562624135507862
IMIPRAMINE,"C,N",17.381841378945467,0.9943370605200932
INDAPAMIDE,"C,N,S,O",11.787267367788932,0.2499767764981681
FLUMAZENIL,"C,N,O",5.572654905121942,0.5347501280084032
TROGLITAZONE,"C,N,S,O",15.832411697800206,0.4938548026781268
BICALUTAMIDE,"C,N,S,O",11.020114783217485,0.4432797238531505
DIAZEPAM,"C,N,O",-1.7320328437341992,0.7458405500880564
METOPROLOL,"C,N,O",-6.325717242986867,0.8606294819290798
FENRETINIDE,"C,N,O",-1.1458132389147615,0.13367771925511096
DIETHYLSTILBESTROL,"C,O",-0.6924674332357386,0.1995509112677447
MECAMYLAMINE,"C,N",1.5067603592255725,0.3885044695597635
CARBACHOL,"C,N,O",5.801977968014463,0.589629430627859
PHENYTOIN,"C,N,O",-0.2338331907049332,0.39051369300488703
SIROLIMUS,"C,N,O",-0.03583879578471977,0.12632296664575726
TACROLIMUS,"C,N,O",-4.699452681872196,0.2595306913755769
CLOMIPRAMINE,"C,N",0.7799437759583049,0.6173199102585606
METHOXSALEN,"C,O",12.106605316192901,0.2961416416990169
DICHLORPHENAMIDE,"C,N,S,O",12.281548753154187,0.02825676035094582
ETHOXZOLAMIDE,"C,N,S,O",-23.67292223108361,0.7012178770113158
EPIRUBICIN,"C,N,O",19.550168446215103,0.885584914890163
METHAZOLAMIDE,"C,N,S,O",12.549154430068658,0.8096747677020397
ACETAZOLAMIDE,"C,N,S,O",-19.964674922799613,0.3416905168897165
MAFENIDE,"C,N,S,O",-13.243880823583007,0.7139903952993704
SULFANILAMIDE,"N,S,O",12.35725636811461,0.7845851404448104
GUANABENZ,"C,N",-5.3186176660940925,0.39161743769558177
TRIMETHOPRIM,"C,N,O",-2.1682386224801267,0.1821069955516551
VERAPAMIL,"C,N,O",-3.5569210872714097,0.09310738083563164
SULFASALAZINE,"C,N,S,O",19.639915399099294,0.2619276423486576
COUMARIN,"C,O",11.843901071405885,0.8158745808139617
DILTIAZEM,"C,N,S,O",12.438311811714009,0.1984708976120635
ATENOLOL,"C,N,O",-1.8991900846570915,0.6408236392780781
ASPIRIN,"C,O",-22.42993362472147,0.2559819360230525
TRIFLUOPERAZINE,"C,N,S",11.19395745268584,0.3758269239234482
SULPIRIDE,"C,N,S,O",23.995170612425934,0.4295552894934902
BETAXOLOL,"C,N,O",-5.74566633027772,0.060356560441421785
SALICYLIC ACID,"C,O",14.315737355689185,0.8365905095456597
OLSALAZINE,"C,N,O",21.5472512390619,0.668015949453719
PROPRANOLOL,"C,N,O",6.0140692160548,0.639601701899566
PRACTOLOL,"C,N,O",5.492112915296234,0.43126951057367297
MECHLORETHAMINE,"C,N",7.475192924183643,0.4895425691517176
BENZYLPENICILLIN,"C,N,S,O",23.559892198559265,0.07964329705328488
TROVAFLOXACIN,"C,N,O",7.831609202406748,0.30705366945993273
CIMETIDINE,"C,N,S",-22.075161527550726,0.3891040346789897
GATIFLOXACIN,"C,N,O",14.303668107175787,0.10969292637108297
LABETALOL,"C,N,O",13.107002463276864,0.9658102621007926
MOXIFLOXACIN,"C,N,O",4.659812050541461,0.07599064636792574
LEVOFLOXACIN,"C,N,O",11.717007681710898,0.6034684716634299
GEMIFLOXACIN,"C,N,O",-8.448823601670165,0.1634799115767951
SPIRAPRIL,"C,N,S,O",15.269779941482618,0.5454727944704371
VALPROATE SODIUM,"C,N,O",-15.043654799011133,0.9311444819609184
ISOPROTERENOL,"C,N,O",-9.218699924795784,0.746531952203378
SORBINIL,"C,N,O",-10.518203413605516,0.4146673674147269
HYDROCHLOROTHIAZIDE,"C,N,S,O",-17.389636280314114,0.5815129289769652
FUROSEMIDE,"C,N,S,O",10.409382773813773,0.11293940569050187
BEVIRIMAT,"C,O",-7.447908344071336,0.8821572888695817
PYRIMETHAMINE,"C,N",-5.388951189239423,0.8510436311161589
TOLRESTAT,"C,N,S,O",-17.505945319791554,0.1709137133000599
SULFATHIAZOLE,"N,S,O",14.81361708393824,0.6032912515327179
SULFAMERAZINE,"C,N,S,O",-11.839012124464046,0.5697159645458746
SULFADIAZINE,"N,S,O",26.006194560402236,0.7338796736810247
THIAMYLAL,"C,N,S,O",16.772184434420492,0.3348901670269069
THIOPENTAL,"C,N,S,O",-21.082655624947588,0.054010670934490516
CYCLOBARBITAL,"C,N,O",-15.249523032202845,0.4239503617208063
ERGOTAMINE,"C,N,O",10.4755960448744,0.7383807217194454
TRETINOIN,"C,O",3.610959535891476,0.7022177232656077
METHOHEXITAL,"C,N,O",-7.556357942593544,0.6533710687783697
PHENOBARBITAL,"C,N,O",-8.371482418900616,0.9944303531939824
FLUOXETINE,"C,N,O",2.6088515269079102,0.015650749728451596
SULFAMETHOXAZOLE,"C,N,S,O",14.45242112146023,0.22705160887627585
BARBITAL,"C,N,O",5.496266077401872,0.9448162116561536
CLOZAPINE,"C,N",7.0274648177322065,0.19265788954854435
NORTRIPTYLINE,"C,N",9.721099695279596,0.3519901102237031
SULFAMETHAZINE,"C,N,S,O",-10.704218062222001,0.09764098578151603
SECOBARBITAL,"C,N,O",-3.7351987764796633,0.4955577253832269
PENTOBARBITAL,"C,N,O",-19.100200756513047,0.628286911409709
QUINACRINE,"C,N,O",-3.1777051781914105,0.4621593137122652
AMOBARBITAL,"C,N,O",12.205608830798607,0.16154401680202246
BUTABARBITAL,"C,N,O",12.223580805839894,0.9253713187687516
METHARBITAL,"C,N,O",-5.2056055608683485,0.25305979196580475
CHLORDIAZEPOXIDE,"C,N,O",20.032225129059434,0.1965048753309612
CLONAZEPAM,"C,N,O",5.65709180320255,0.7391902560245186
SULFISOXAZOLE,"C,N,S,O",-23.614164872519602,0.5852690081514883
SULFAMETHOXYPYRIDAZINE,"C,N,S,O",10.465704054269061,0.9263231545089476
BUTALBITAL,"C,N,O",5.077120672513786,0.37275168052615903
